datetime,date,source,topic,headline,url,domain,country
2009-07-24T12:48:57.000Z,2009-07-24,oilprice.com,war,What Are The Causes Of Global Warming,https://oilprice.com/The-Environment/Global-Warming/What-Are-The-Causes-Of-Global-Warming.html,The-Environment/Global-Warming,
2020-01-29T17:54:20.000Z,2020-01-29,oilprice.com,war,What Is Global Warming A Beginners Guide,https://oilprice.com/The-Environment/Global-Warming/What-Is-Global-Warming-A-Beginners-Guide.html,The-Environment/Global-Warming,
2020-01-29T17:48:43.000Z,2020-01-29,oilprice.com,war,What Are The Effects Of Global Warming,https://oilprice.com/The-Environment/Global-Warming/What-Are-The-Effects-Of-Global-Warming.html,The-Environment/Global-Warming,
2009-10-01T21:30:28.000Z,2009-10-01,oilprice.com,war,Afghan War A Subset Of U.S. Efforts To Secure Central Asian Energy Riches,https://oilprice.com/Geopolitics/Middle-East/Afghan-War-A-Subset-Of-U.S.-Efforts-To-Secure-Central-Asian-Energy-Riches.html,Geopolitics/Middle-East,
2009-10-10T03:13:17.000Z,2009-10-10,oilprice.com,war,Georgia Energy Bridge To Conflict,https://oilprice.com/Geopolitics/Europe/Georgia-Energy-Bridge-To-Conflict.html,Geopolitics/Europe,
2009-11-22T08:35:09.000Z,2009-11-22,oilprice.com,war,Global Warming Are We Being Lied To,https://oilprice.com/The-Environment/Global-Warming/Global-Warming-Are-We-Being-Lied-To.html,The-Environment/Global-Warming,
2009-12-16T06:53:28.000Z,2009-12-16,oilprice.com,war,Climate Change Clean Coal Nuclear Energy Or Simply Energy Savings,https://oilprice.com/The-Environment/Global-Warming/Climate-Change-Clean-Coal-Nuclear-Energy-Or-Simply-Energy-Savings.html,The-Environment/Global-Warming,
2009-12-12T00:05:23.000Z,2009-12-12,oilprice.com,war,Speakable And Unspeakable About The Copenhagen Climate Meeting,https://oilprice.com/The-Environment/Global-Warming/Speakable-And-Unspeakable-About-The-Copenhagen-Climate-Meeting.html,The-Environment/Global-Warming,
2009-12-10T22:57:40.000Z,2009-12-10,oilprice.com,war,The Economic Impact Of Global Warming,https://oilprice.com/The-Environment/Global-Warming/The-Economic-Impact-Of-Global-Warming.html,The-Environment/Global-Warming,
2009-12-04T23:13:08.000Z,2009-12-04,oilprice.com,war,Oil And The Environment What Are Oil Companies Doing To Clean Up Their Act,https://oilprice.com/The-Environment/Global-Warming/Oil-And-The-Environment-What-Are-Oil-Companies-Doing-To-Clean-Up-Their-Act.html,The-Environment/Global-Warming,
