Target,Model,Horizon,MAE,RMSE,MAPE(%),SMAPE(%),R2
MG92,ARIMAX,1,1.3729,2.5598,1.474,1.4738,0.9757
MG92,SARIMA,1,1.4796,2.8648,1.5881,1.5886,0.9695
MG92,Jump-Gated ARIMAX-CatBoost,1,1.1906,2.4228,1.2548,1.2557,0.9782
MG92,Ridge (Linear),1,1.505,2.773,1.5844,1.5964,0.9714
MG92,LightGBM,1,2.4097,3.7984,2.6494,2.6899,0.9463
MG92,LSTM,1,7.3985,14.9874,7.1122,7.9033,0.1688
MG92,iTransformer,1,5.0039,9.9489,4.9597,5.2393,0.6337
MG92,GUMNet-Lite,1,6.8204,16.367,6.5289,5.9198,0.0088
MG92,GUMNet-Ultra,1,3.3483,5.8771,3.5432,3.5477,0.8722
MG92,ARIMAX,5,2.6628,4.715,2.817,2.8347,0.9181
MG92,SARIMA,5,3.5302,6.0751,3.8193,3.8605,0.864
MG92,Jump-Gated ARIMAX-CatBoost,5,2.685,4.668,2.8429,2.8737,0.9191
MG92,Ridge (Linear),5,3.5353,6.3413,3.6895,3.7722,0.8507
MG92,LightGBM,5,5.9274,11.4122,5.8046,6.2019,0.5163
MG92,LSTM,5,5.42,11.4816,5.3928,5.7704,0.5132
MG92,iTransformer,5,6.8223,13.0848,6.8114,7.1945,0.3677
MG92,GUMNet-Lite,5,6.1718,11.6167,6.2802,6.708,0.5016
MG92,GUMNet-Ultra,5,6.1941,11.3166,6.2525,6.5212,0.5271
MG92,ARIMAX,10,3.5741,6.8481,3.7289,3.7938,0.829
MG92,SARIMA,10,4.578,9.0315,4.8191,4.9834,0.7025
MG92,Jump-Gated ARIMAX-CatBoost,10,3.5455,6.7158,3.7355,3.8246,0.8325
MG92,Ridge (Linear),10,4.3811,8.352,4.5775,4.6972,0.7409
MG92,LightGBM,10,6.9248,14.5007,6.5764,7.2108,0.2191
MG92,LSTM,10,8.6044,15.9258,8.602,9.3723,0.067
MG92,iTransformer,10,8.2126,14.5218,8.3099,8.7036,0.2243
MG92,GUMNet-Lite,10,8.9805,13.9528,9.7126,9.8325,0.2839
MG92,GUMNet-Ultra,10,7.7855,12.1234,8.748,8.759,0.4593
MG92,ARIMAX,30,5.5593,10.7574,5.625,5.8445,0.5963
MG92,SARIMA,30,8.1389,16.4301,8.0817,8.8372,0.0583
MG92,Jump-Gated ARIMAX-CatBoost,30,5.3166,9.9418,5.4306,5.5996,0.6343
MG92,Ridge (Linear),30,8.8678,16.6713,8.9168,8.8995,-0.0284
MG92,LightGBM,30,9.5007,16.5532,9.7171,10.2896,-0.0139
MG92,LSTM,30,13.0435,21.5662,13.59,14.6114,-0.6961
MG92,iTransformer,30,13.754,20.4559,14.7891,15.0724,-0.526
MG92,GUMNet-Lite,30,9.7024,17.7645,9.7036,10.5659,-0.1508
MG92,GUMNet-Ultra,30,9.0629,15.1742,9.4264,9.7719,0.1603
MG92,ARIMAX,60,6.4383,11.3896,6.4634,6.7565,0.5752
MG92,SARIMA,60,10.7985,20.8657,10.3522,11.7316,-0.4256
MG92,Jump-Gated ARIMAX-CatBoost,60,6.4882,10.9272,6.774,6.9184,0.5608
MG92,Ridge (Linear),60,8.6688,16.8482,8.4183,9.3458,-0.0442
MG92,LightGBM,60,11.7049,18.7132,12.3022,12.82,-0.2881
MG92,LSTM,60,15.5194,25.87,15.9972,17.8665,-1.4089
MG92,iTransformer,60,16.8119,28.3368,17.3307,19.3999,-1.8902
MG92,GUMNet-Lite,60,19.9171,33.6832,20.2695,26.2051,-3.0837
MG92,GUMNet-Ultra,60,12.6001,20.7252,12.9791,14.801,-0.546
