Target,Model,Horizon,MAE,RMSE,RMSE($),MAPE(%),SMAPE(%),R2,MAPE_thr(%),RMSE_thr($),Pass
DO 0.05%,ARIMAX,1,1.6934,4.7949,4.7949,1.2843,1.2793,0.9778,3.0,2.0,False
DO 0.05%,SARIMA,1,2.2844,5.6634,5.6634,1.8338,1.8351,0.969,3.0,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,1,1.7946,5.3053,5.3053,1.3048,1.3049,0.9727,3.0,2.0,False
DO 0.05%,Ridge (Linear),1,2.2517,5.8642,5.8642,1.7653,1.7904,0.9667,3.0,2.0,False
DO 0.05%,LightGBM,1,4.4837,13.5853,13.5853,3.0511,3.2542,0.8211,3.0,2.0,False
DO 0.05%,LSTM,1,8.5762,22.2001,22.2001,5.8868,6.5977,0.5252,3.0,2.0,False
DO 0.05%,iTransformer,1,10.6607,27.9758,27.9758,7.4195,8.6055,0.2461,3.0,2.0,False
DO 0.05%,GUMNet-Lite,1,8.3579,20.695,20.695,6.0403,6.5016,0.5874,3.0,2.0,False
DO 0.05%,GUMNet-Ultra,1,8.0915,17.8672,17.8672,6.1957,6.3391,0.6925,3.0,2.0,False
DO 0.05%,ARIMAX,5,4.0998,11.3229,11.3229,3.1334,3.0796,0.877,3.0,2.0,False
DO 0.05%,SARIMA,5,5.6198,13.1982,13.1982,4.5384,4.5665,0.8329,3.0,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,5,4.0538,11.2489,11.2489,3.1046,3.0508,0.8776,3.0,2.0,False
DO 0.05%,Ridge (Linear),5,5.7747,13.0972,13.0972,4.4678,4.6405,0.834,3.0,2.0,False
DO 0.05%,LightGBM,5,8.2027,18.2378,18.2378,6.5096,7.0553,0.6782,3.0,2.0,False
DO 0.05%,LSTM,5,11.8632,27.6668,27.6668,8.6735,9.9122,0.2642,3.0,2.0,False
DO 0.05%,iTransformer,5,11.8138,28.9982,28.9982,8.4855,9.7845,0.1917,3.0,2.0,False
DO 0.05%,GUMNet-Lite,5,12.5768,26.9728,26.9728,9.7636,11.0635,0.3007,3.0,2.0,False
DO 0.05%,GUMNet-Ultra,5,9.3455,23.6887,23.6887,6.9104,7.6174,0.4606,3.0,2.0,False
DO 0.05%,ARIMAX,10,6.108,16.0825,16.0825,4.6379,4.4914,0.7545,5.0,2.0,False
DO 0.05%,SARIMA,10,8.6226,19.9931,19.9931,6.7766,6.8889,0.6207,5.0,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,10,6.2105,16.3458,16.3458,4.775,4.6052,0.7415,5.0,2.0,False
DO 0.05%,Ridge (Linear),10,7.6422,17.944,17.944,5.9017,6.2264,0.6885,5.0,2.0,False
DO 0.05%,LightGBM,10,12.3378,23.4844,23.4844,10.3288,11.4868,0.4664,5.0,2.0,False
DO 0.05%,LSTM,10,13.1768,28.3905,28.3905,10.0217,11.432,0.2286,5.0,2.0,False
