Target,Model,Horizon,MAE,RMSE,RMSE($),MAPE(%),SMAPE(%),R2,MAPE_thr(%),RMSE_thr($),Pass
MG92,ARIMAX,1,0.957,1.9849,1.9849,1.0059,1.003,0.9854,3.0,2.0,True
MG92,SARIMA,1,1.4796,2.8648,2.8648,1.5881,1.5886,0.9695,3.0,2.0,False
MG92,Jump-Gated ARIMAX-CatBoost,1,1.0169,2.3949,2.3949,1.0382,1.0383,0.9787,3.0,2.0,False
MG92,Ridge (Linear),1,1.4097,2.6109,2.6109,1.5111,1.5199,0.9746,3.0,2.0,False
MG92,LightGBM,1,2.2203,3.291,3.291,2.5106,2.5348,0.9597,3.0,2.0,False
MG92,LSTM,1,3.9079,8.2388,8.2388,3.8684,4.0408,0.7488,3.0,2.0,False
MG92,iTransformer,1,5.0687,9.0674,9.0674,5.1907,5.3534,0.6958,3.0,2.0,False
MG92,GUMNet-Lite,1,4.7869,6.6552,6.6552,5.4969,5.3941,0.8361,3.0,2.0,False
MG92,GUMNet-Ultra,1,3.2216,4.6238,4.6238,3.711,3.6464,0.9209,3.0,2.0,False
MG92,ARIMAX,5,2.0785,3.5365,3.5365,2.2262,2.217,0.9539,3.0,2.0,False
MG92,SARIMA,5,3.5302,6.0751,6.0751,3.8193,3.8605,0.864,3.0,2.0,False
MG92,Jump-Gated ARIMAX-CatBoost,5,2.1031,3.5965,3.5965,2.249,2.2346,0.952,3.0,2.0,False
MG92,Ridge (Linear),5,2.966,4.8653,4.8653,3.2649,3.2726,0.9121,3.0,2.0,False
MG92,LightGBM,5,3.9137,6.2895,6.2895,4.2887,4.398,0.8531,3.0,2.0,False
MG92,LSTM,5,5.9278,11.2034,11.2034,5.9383,6.3166,0.5365,3.0,2.0,False
MG92,iTransformer,5,6.0287,11.9169,11.9169,5.9959,6.3397,0.4756,3.0,2.0,False
MG92,GUMNet-Lite,5,6.139,9.5516,9.5516,6.8101,6.9581,0.6631,3.0,2.0,False
MG92,GUMNet-Ultra,5,5.1415,10.981,10.981,5.2153,5.5791,0.5547,3.0,2.0,False
MG92,ARIMAX,10,2.4778,4.3016,4.3016,2.6896,2.6695,0.9325,5.0,2.0,False
MG92,SARIMA,10,4.5779,9.0315,9.0315,4.8191,4.9834,0.7025,5.0,2.0,False
MG92,Jump-Gated ARIMAX-CatBoost,10,2.7393,4.9908,4.9908,2.9086,2.8669,0.9075,5.0,2.0,False
MG92,Ridge (Linear),10,4.3477,8.3665,8.3665,4.5676,4.5754,0.74,5.0,2.0,False
MG92,LightGBM,10,5.6798,9.5206,9.5206,6.1393,6.455,0.6634,5.0,2.0,False
MG92,LSTM,10,6.7921,12.3258,12.3258,6.9979,7.3684,0.4411,5.0,2.0,False
MG92,iTransformer,10,8.4667,15.2074,15.2074,8.4844,8.9961,0.1493,5.0,2.0,False
MG92,GUMNet-Lite,10,9.1976,13.3778,13.3778,10.0851,10.2705,0.3417,5.0,2.0,False
MG92,GUMNet-Ultra,10,7.4863,12.5912,12.5912,7.8241,8.1539,0.4168,5.0,2.0,False
MG92,ARIMAX,15,3.0616,5.0345,5.0345,3.3457,3.3086,0.9086,5.0,2.0,False
MG92,SARIMA,15,5.696,11.7796,11.7796,5.8105,6.1172,0.4994,5.0,2.0,False
