Target,Model,Horizon,MAE,RMSE,MAPE(%),SMAPE(%),R2
MG95,ARIMAX,1,0.9752,2.1116,0.9796,0.9759,0.986
MG95,SARIMA,1,1.5108,3.0496,1.554,1.5528,0.9709
MG95,Jump-Gated ARIMAX-CatBoost,1,1.0799,2.7229,1.0457,1.0432,0.9767
MG95,Ridge (Linear),1,1.4194,2.8282,1.4162,1.4252,0.9749
MG95,LightGBM,1,1.9689,3.6704,2.0071,2.0372,0.9577
MG95,LSTM,1,3.1808,5.6656,3.3018,3.3766,0.8998
MG95,iTransformer,1,5.4813,11.2092,5.1324,5.4271,0.6076
MG95,GUMNet-Lite,1,4.444,8.2982,4.476,4.4121,0.785
MG95,GUMNet-Ultra,1,3.6839,7.0065,3.7169,3.7786,0.8467
MG95,ARIMAX,5,2.2064,4.0957,2.237,2.227,0.9478
MG95,SARIMA,5,3.7698,6.9018,3.8635,3.9068,0.8518
MG95,Jump-Gated ARIMAX-CatBoost,5,2.2081,4.1143,2.2386,2.226,0.947
MG95,Ridge (Linear),5,3.221,5.6111,3.3541,3.3631,0.9013
MG95,LightGBM,5,3.7299,6.6666,3.8518,3.9712,0.8607
MG95,LSTM,5,6.3809,12.6172,6.2358,6.7112,0.5038
MG95,iTransformer,5,6.2496,13.3032,5.8013,6.2432,0.4484
MG95,GUMNet-Lite,5,6.9016,10.3825,7.3572,7.3521,0.664
MG95,GUMNet-Ultra,5,5.1314,11.1225,5.0157,5.3592,0.6144
MG95,ARIMAX,10,2.7976,5.0518,2.8368,2.8177,0.9214
MG95,SARIMA,10,4.8785,10.2419,4.8296,5.021,0.6771
MG95,Jump-Gated ARIMAX-CatBoost,10,2.8709,5.2355,2.9025,2.8713,0.9141
MG95,Ridge (Linear),10,4.9014,9.8235,4.8589,4.8678,0.6976
MG95,LightGBM,10,6.9878,13.5859,6.7443,7.1135,0.4216
MG95,LSTM,10,7.1767,13.8675,6.9301,7.3777,0.4029
MG95,iTransformer,10,8.8148,16.6898,8.3307,8.9964,0.1352
MG95,GUMNet-Lite,10,8.6404,14.488,8.8074,9.3575,0.3483
MG95,GUMNet-Ultra,10,7.3008,12.9087,7.4027,7.6685,0.4826
MG95,ARIMAX,30,4.2465,7.0969,4.3669,4.2878,0.8517
MG95,SARIMA,30,8.5796,18.1749,8.0477,8.8458,0.0272
MG95,Jump-Gated ARIMAX-CatBoost,30,4.9482,9.427,4.9592,4.8323,0.7225
MG95,Ridge (Linear),30,10.2983,20.4803,9.8031,9.6579,-0.3098
MG95,LightGBM,30,9.2668,17.1683,9.0095,9.5888,0.0796
MG95,LSTM,30,10.7871,19.8118,10.4328,11.1174,-0.2083
MG95,iTransformer,30,15.0476,22.7348,15.4732,15.827,-0.5911
MG95,GUMNet-Lite,30,10.8521,22.0131,9.9826,11.489,-0.4917
MG95,GUMNet-Ultra,30,11.1782,19.2034,11.0063,11.8027,-0.1352
MG95,ARIMAX,60,3.8244,5.266,4.2186,4.1709,0.9237
MG95,SARIMA,60,10.9924,22.4086,9.9718,11.3846,-0.382
MG95,Jump-Gated ARIMAX-CatBoost,60,5.145,6.1706,5.7799,5.8271,0.8818
MG95,Ridge (Linear),60,9.4396,18.189,8.8327,9.8017,-0.0272
MG95,LightGBM,60,12.4454,20.4288,12.5123,13.1065,-0.2958
MG95,LSTM,60,15.4875,27.637,14.7858,17.9182,-1.3213
MG95,iTransformer,60,16.0737,27.3623,15.7833,17.2676,-1.2754
MG95,GUMNet-Lite,60,14.3895,26.7456,13.5191,16.3188,-1.174
MG95,GUMNet-Ultra,60,11.4503,21.2237,10.8524,12.0994,-0.369
