Target,Model,Horizon,MAE,RMSE,MAPE(%),SMAPE(%),R2,RMSE($),MAPE_thr(%),RMSE_thr($),Pass
MG95,ARIMAX,1,0.9752,2.1116,0.9796,0.9759,0.986,2.1116,3.0,2.0,False
MG95,SARIMA,1,1.5108,3.0496,1.554,1.5528,0.9709,3.0496,3.0,2.0,False
MG95,Jump-Gated ARIMAX-CatBoost,1,1.0799,2.7229,1.0457,1.0432,0.9767,2.7229,3.0,2.0,False
MG95,Ridge (Linear),1,1.4194,2.8282,1.4162,1.4252,0.9749,2.8282,3.0,2.0,False
MG95,LightGBM,1,1.9689,3.6704,2.0071,2.0372,0.9577,3.6704,3.0,2.0,False
MG95,LSTM,1,3.8246,7.8709,3.652,3.7893,0.8065,7.8709,3.0,2.0,False
MG95,iTransformer,1,5.0085,10.1777,4.7069,4.9495,0.6765,10.1777,3.0,2.0,False
MG95,GUMNet-Lite,1,5.9516,8.4938,6.5176,6.3465,0.7747,8.4938,3.0,2.0,False
MG95,GUMNet-Ultra,1,4.5973,7.2939,4.8083,4.7547,0.8339,7.2939,3.0,2.0,False
MG95,ARIMAX,5,2.2064,4.0957,2.237,2.227,0.9478,4.0957,3.0,2.0,False
MG95,SARIMA,5,3.7698,6.9018,3.8635,3.9068,0.8518,6.9018,3.0,2.0,False
MG95,Jump-Gated ARIMAX-CatBoost,5,2.2081,4.1143,2.2386,2.226,0.947,4.1143,3.0,2.0,False
MG95,Ridge (Linear),5,3.221,5.6111,3.3541,3.3631,0.9013,5.6111,3.0,2.0,False
MG95,LightGBM,5,3.7299,6.6666,3.8518,3.9712,0.8607,6.6666,3.0,2.0,False
MG95,LSTM,5,6.3809,12.6172,6.2358,6.7112,0.5038,12.6172,3.0,2.0,False
MG95,iTransformer,5,6.2496,13.3032,5.8013,6.2432,0.4484,13.3032,3.0,2.0,False
MG95,GUMNet-Lite,5,6.9016,10.3825,7.3572,7.3521,0.664,10.3825,3.0,2.0,False
MG95,GUMNet-Ultra,5,5.1314,11.1225,5.0157,5.3592,0.6144,11.1225,3.0,2.0,False
MG95,ARIMAX,10,2.7976,5.0518,2.8368,2.8177,0.9214,5.0518,5.0,2.0,False
MG95,SARIMA,10,4.8785,10.2419,4.8296,5.021,0.6771,10.2419,5.0,2.0,False
