Target,Model,Horizon,MAE,RMSE,RMSE($),MAPE(%),SMAPE(%),R2,MAPE_thr(%),RMSE_thr($),Pass
DO 0.05%,ARIMAX,1,1.7234,4.7808,4.7808,1.2985,1.2944,0.9779,3.0,2.0,False
DO 0.05%,SARIMA,1,2.2844,5.6634,5.6634,1.8338,1.8351,0.969,3.0,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,1,1.8119,5.3863,5.3863,1.311,1.3119,0.9719,3.0,2.0,False
DO 0.05%,Ridge (Linear),1,2.1829,5.917,5.917,1.69,1.7047,0.9661,3.0,2.0,False
DO 0.05%,LightGBM,1,4.2622,13.3407,13.3407,2.8425,3.0341,0.8274,3.0,2.0,False
DO 0.05%,LSTM,1,8.3897,23.3089,23.3089,5.6826,6.4246,0.4766,3.0,2.0,False
DO 0.05%,iTransformer,1,9.7907,26.8751,26.8751,6.6195,7.6785,0.3042,3.0,2.0,False
DO 0.05%,GUMNet-Lite,1,5.2853,10.2513,10.2513,4.5533,4.7153,0.8988,3.0,2.0,False
DO 0.05%,GUMNet-Ultra,1,8.1802,22.2864,22.2864,5.5265,6.1514,0.5216,3.0,2.0,False
DO 0.05%,ARIMAX,5,4.1156,11.1747,11.1747,3.1319,3.0795,0.8802,3.0,2.0,False
DO 0.05%,SARIMA,5,5.6198,13.1982,13.1982,4.5384,4.5665,0.8329,3.0,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,5,4.1321,11.1101,11.1101,3.1313,3.0918,0.8806,3.0,2.0,False
DO 0.05%,Ridge (Linear),5,6.0849,13.8375,13.8375,4.7169,4.8556,0.8148,3.0,2.0,False
DO 0.05%,LightGBM,5,7.3162,17.705,17.705,5.5458,6.0034,0.6967,3.0,2.0,False
DO 0.05%,LSTM,5,11.2374,25.818,25.818,8.3722,9.386,0.3593,3.0,2.0,False
DO 0.05%,iTransformer,5,11.9418,29.4282,29.4282,8.4811,9.8097,0.1676,3.0,2.0,False
DO 0.05%,GUMNet-Lite,5,11.7644,22.4861,22.4861,9.7745,10.7598,0.514,3.0,2.0,False
DO 0.05%,GUMNet-Ultra,5,8.7111,21.7201,21.7201,6.4865,7.1259,0.5465,3.0,2.0,False
DO 0.05%,ARIMAX,10,6.1246,15.8508,15.8508,4.6428,4.5092,0.7616,5.0,2.0,False
DO 0.05%,SARIMA,10,8.6226,19.9931,19.9931,6.7766,6.8889,0.6207,5.0,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,10,6.1273,16.0163,16.0163,4.6786,4.5317,0.7518,5.0,2.0,False
DO 0.05%,Ridge (Linear),10,8.484,19.4125,19.4125,6.5875,6.8653,0.6354,5.0,2.0,False
DO 0.05%,LightGBM,10,9.8236,23.6822,23.6822,7.195,8.0476,0.4574,5.0,2.0,False
DO 0.05%,LSTM,10,12.1756,29.0287,29.0287,8.8175,10.1856,0.1935,5.0,2.0,False
DO 0.05%,iTransformer,10,13.5032,31.0052,31.0052,9.8857,11.3158,0.08,5.0,2.0,False
DO 0.05%,GUMNet-Lite,10,12.8469,27.6576,27.6576,10.0108,11.4182,0.2679,5.0,2.0,False
DO 0.05%,GUMNet-Ultra,10,9.7317,23.737,23.737,7.217,7.8673,0.4608,5.0,2.0,False
DO 0.05%,ARIMAX,15,7.941,18.9369,18.9369,5.9197,5.7807,0.6634,5.0,2.0,False
DO 0.05%,SARIMA,15,11.1626,25.8243,25.8243,8.3728,8.7136,0.374,5.0,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,15,8.0717,19.2677,19.2677,6.0728,5.8984,0.6416,5.0,2.0,False
DO 0.05%,Ridge (Linear),15,10.8076,24.7751,24.7751,8.105,8.6102,0.4074,5.0,2.0,False
DO 0.05%,LightGBM,15,12.321,27.4619,27.4619,9.4072,10.7168,0.272,5.0,2.0,False
DO 0.05%,LSTM,15,13.5625,31.5096,31.5096,10.0212,11.6684,0.0519,5.0,2.0,False
DO 0.05%,iTransformer,15,14.302,32.6686,32.6686,10.5237,12.12,-0.0192,5.0,2.0,False
DO 0.05%,GUMNet-Lite,15,14.5024,30.6061,30.6061,11.4451,12.8709,0.1055,5.0,2.0,False
DO 0.05%,GUMNet-Ultra,15,10.9124,27.2512,27.2512,8.2355,9.1164,0.2908,5.0,2.0,False
DO 0.05%,ARIMAX,20,9.2348,21.4487,21.4487,6.8488,6.7258,0.5727,5.0,2.0,False
DO 0.05%,SARIMA,20,13.3176,30.367,30.367,9.8865,10.4673,0.1436,5.0,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,20,9.5514,22.2545,22.2545,7.1254,6.9557,0.5219,5.0,2.0,False
DO 0.05%,Ridge (Linear),20,12.5521,28.6704,28.6704,9.4329,10.1077,0.2065,5.0,2.0,False
DO 0.05%,LightGBM,20,12.8787,30.2173,30.2173,9.5389,11.0778,0.1185,5.0,2.0,False
DO 0.05%,LSTM,20,14.1549,31.879,31.879,10.5074,12.1746,0.0336,5.0,2.0,False
DO 0.05%,iTransformer,20,18.3617,36.1555,36.1555,14.7745,16.169,-0.2431,5.0,2.0,False
DO 0.05%,GUMNet-Lite,20,14.6052,32.9334,32.9334,10.9786,12.9006,-0.0314,5.0,2.0,False
DO 0.05%,GUMNet-Ultra,20,11.5321,29.2458,29.2458,8.3414,9.4456,0.1866,5.0,2.0,False
DO 0.05%,ARIMAX,30,9.5154,20.9388,20.9388,7.182,7.3398,0.6013,,2.0,False
DO 0.05%,SARIMA,30,14.5615,33.4446,33.4446,10.7751,12.0487,-0.0173,,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,30,9.3601,20.3904,20.3904,7.2093,7.3401,0.5995,,2.0,False
DO 0.05%,Ridge (Linear),30,14.2754,31.4519,31.4519,10.9391,11.9466,0.0471,,2.0,False
DO 0.05%,LightGBM,30,13.0592,32.8642,32.8642,9.1186,10.7853,-0.0404,,2.0,False
DO 0.05%,LSTM,30,17.6907,38.0909,38.0909,13.5129,16.0821,-0.3769,,2.0,False
DO 0.05%,iTransformer,30,21.3827,38.5836,38.5836,18.0082,19.2043,-0.4128,,2.0,False
DO 0.05%,GUMNet-Lite,30,15.7868,34.3974,34.3974,11.9438,13.9442,-0.1228,,2.0,False
DO 0.05%,GUMNet-Ultra,30,15.8962,31.8446,31.8446,12.8029,14.4433,0.0376,,2.0,False
DO 0.05%,ARIMAX,60,8.902,19.1644,19.1644,6.9768,7.4397,0.6857,,2.0,False
DO 0.05%,SARIMA,60,17.5057,38.1268,38.1268,12.7506,15.0811,-0.2441,,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,60,8.9968,18.2717,18.2717,7.5097,7.8192,0.6805,,2.0,False
DO 0.05%,Ridge (Linear),60,15.6381,36.2007,36.2007,11.3969,13.5068,-0.2542,,2.0,False
DO 0.05%,LightGBM,60,18.0994,37.9559,37.9559,14.0273,16.2112,-0.3788,,2.0,False
DO 0.05%,LSTM,60,23.5025,47.7837,47.7837,18.2667,23.0224,-1.1387,,2.0,False
DO 0.05%,iTransformer,60,26.7017,43.9612,43.9612,23.1763,25.4514,-0.8102,,2.0,False
DO 0.05%,GUMNet-Lite,60,18.2917,41.1034,41.1034,13.3584,16.5405,-0.5825,,2.0,False
DO 0.05%,GUMNet-Ultra,60,18.9513,38.3635,38.3635,14.7594,17.6054,-0.3786,,2.0,False
