Model,Horizon,MAE,RMSE,MAPE(%),SMAPE(%),R2
ARIMAX,1,0.9543,2.0175,0.9639,0.9608,0.9872
SARIMA,1,1.5108,3.0496,1.554,1.5528,0.9709
Jump-Gated ARIMAX-CatBoost,1,1.0608,2.7247,1.0239,1.0211,0.9767
Ridge (Linear),1,1.4104,2.8722,1.4321,1.4364,0.9741
LightGBM,1,2.0116,3.6622,2.0735,2.1041,0.9579
LSTM,1,3.4741,6.2186,3.6121,3.6406,0.8792
iTransformer,1,5.294,10.6406,4.9752,5.1838,0.6464
GUMNet-Lite,1,3.3746,6.833,3.2578,3.3752,0.8542
GUMNet-Ultra,1,2.6858,5.0968,2.7672,2.7495,0.9189
ARIMAX,5,2.1357,3.9035,2.1854,2.177,0.9526
SARIMA,5,3.7698,6.9018,3.8635,3.9068,0.8518
Jump-Gated ARIMAX-CatBoost,5,2.1905,4.0083,2.2352,2.222,0.9497
Ridge (Linear),5,3.8254,7.1693,3.9118,3.8969,0.8389
LightGBM,5,3.8646,6.9198,4.0018,4.1167,0.85
LSTM,5,4.6361,8.9505,4.6377,4.8297,0.7503
iTransformer,5,6.0265,12.72,5.5717,5.9869,0.4957
GUMNet-Lite,5,5.5473,10.6614,5.7363,5.9761,0.6457
GUMNet-Ultra,5,5.1954,9.7094,5.2838,5.3707,0.7062
ARIMAX,10,2.7379,4.8061,2.7975,2.7803,0.9289
SARIMA,10,4.8785,10.2419,4.8296,5.021,0.6771
Jump-Gated ARIMAX-CatBoost,10,3.047,5.928,3.0188,2.9681,0.8899
Ridge (Linear),10,5.8965,11.8897,5.7386,5.6777,0.557
LightGBM,10,5.6586,10.7179,5.8062,6.1416,0.64
LSTM,10,5.9494,12.5614,5.8376,6.2442,0.5101
iTransformer,10,8.7477,15.9492,8.4279,8.9767,0.2102
GUMNet-Lite,10,8.8164,17.2841,8.309,9.3118,0.0725
GUMNet-Ultra,10,5.9981,12.6707,5.9343,6.3244,0.5015
ARIMAX,30,4.1985,6.9632,4.3397,4.2629,0.8572
SARIMA,30,8.5796,18.1749,8.0477,8.8458,0.0272
Jump-Gated ARIMAX-CatBoost,30,4.9834,9.2263,5.064,4.9402,0.7342
Ridge (Linear),30,10.145,20.4239,9.6332,9.5573,-0.3026
LightGBM,30,9.8557,17.6298,9.7379,10.2877,0.0294
LSTM,30,9.1631,17.9965,8.9268,9.7928,0.003
iTransformer,30,14.0657,21.9529,14.3102,14.6491,-0.4835
GUMNet-Lite,30,9.3904,20.105,8.4498,9.7194,-0.2443
GUMNet-Ultra,30,9.8297,18.3807,9.4794,10.1737,-0.04
ARIMAX,60,3.7506,5.1157,4.1664,4.1186,0.928
SARIMA,60,10.9924,22.4086,9.9718,11.3846,-0.382
Jump-Gated ARIMAX-CatBoost,60,4.803,5.7508,5.441,5.4958,0.8973
Ridge (Linear),60,9.7732,19.1829,9.0434,10.2236,-0.1425
LightGBM,60,11.1189,20.2084,10.8092,11.5783,-0.2679
LSTM,60,15.3834,27.2173,14.9723,17.2662,-1.2513
iTransformer,60,20.5524,32.611,20.474,22.0377,-2.232
GUMNet-Lite,60,17.2145,33.4557,15.9565,20.7585,-2.4017
GUMNet-Ultra,60,10.3048,20.8427,9.4972,10.732,-0.3203
