Model,Target,MAE,RMSE,MAPE(%),SMAPE(%),R2
Jump-Gated ARIMAX-CatBoost,MG95,1.2571,2.6541,1.2615,1.2603,0.9779
ARIMAX,MG95,1.4311,2.8239,1.4614,1.4596,0.975
Ridge (Linear),MG95,1.5451,3.0974,1.508,1.5226,0.9699
SARIMA,MG95,1.5088,3.0465,1.552,1.5508,0.9709
LightGBM,MG95,2.2288,4.3114,2.2007,2.2508,0.9416
LSTM,MG95,3.6086,6.0168,3.8267,3.8328,0.8869
GUMNet-Ultra,MG95,4.2197,7.167,4.3884,4.3962,0.8396
GUMNet-Lite,MG95,4.6516,8.0653,4.7746,4.8327,0.7969
iTransformer,MG95,5.2198,11.7473,4.7757,5.0986,0.5691
Jump-Gated ARIMAX-CatBoost,MG92,1.1906,2.4228,1.2548,1.2557,0.9782
ARIMAX,MG92,1.3705,2.5557,1.4715,1.4714,0.9757
SARIMA,MG92,1.4778,2.8619,1.5863,1.5867,0.9695
Ridge (Linear),MG92,1.5077,2.7766,1.5873,1.5993,0.9713
LightGBM,MG92,2.3204,3.5921,2.5648,2.5962,0.952
GUMNet-Ultra,MG92,3.7469,7.15,3.8602,3.9028,0.8108
iTransformer,MG92,4.9035,9.8755,4.8925,5.1131,0.6391
LSTM,MG92,5.4851,11.1644,5.2887,5.6564,0.5388
GUMNet-Lite,MG92,5.3225,10.9149,5.4247,5.7594,0.5592
Jump-Gated ARIMAX-CatBoost,DO 0.001%,1.9658,5.3796,1.4653,1.4686,0.975
ARIMAX,DO 0.001%,2.1788,5.5218,1.7058,1.7092,0.9737
Ridge (Linear),DO 0.001%,2.3402,6.0624,1.7813,1.8118,0.9683
SARIMA,DO 0.001%,2.2937,5.6377,1.8091,1.8118,0.9726
LightGBM,DO 0.001%,4.8526,15.0417,3.0889,3.3418,0.8049
LSTM,DO 0.001%,8.3911,20.3551,5.9259,6.4492,0.6449
GUMNet-Lite,DO 0.001%,10.6405,27.2364,7.1641,8.2301,0.3643
iTransformer,DO 0.001%,11.2811,29.4926,7.5591,8.8552,0.2546
GUMNet-Ultra,DO 0.001%,12.345,30.2267,8.351,10.051,0.2171
Jump-Gated ARIMAX-CatBoost,DO 0.05%,1.9925,5.3944,1.5225,1.523,0.9718
ARIMAX,DO 0.05%,2.2198,5.6385,1.756,1.7569,0.9692
Ridge (Linear),DO 0.05%,2.3567,6.1533,1.8244,1.8576,0.9633
SARIMA,DO 0.05%,2.2801,5.6573,1.8305,1.8318,0.969
LightGBM,DO 0.05%,4.5797,14.1459,3.0617,3.2872,0.806
GUMNet-Ultra,DO 0.05%,7.3467,21.2426,4.9251,5.4461,0.5653
GUMNet-Lite,DO 0.05%,8.0886,21.388,5.615,6.198,0.5593
LSTM,DO 0.05%,9.2467,24.8449,6.1785,7.0493,0.4054
iTransformer,DO 0.05%,10.6971,28.4229,7.3254,8.5489,0.2218
