Model,Horizon,MAE,RMSE,MAPE(%),SMAPE(%),R2
ARIMAX,1,1.429,2.8218,1.4608,1.4594,0.975
SARIMA,1,1.5108,3.0496,1.554,1.5528,0.9709
Jump-Gated ARIMAX-CatBoost,1,1.2571,2.6541,1.2615,1.2603,0.9779
Ridge (Linear),1,1.5422,3.0918,1.5056,1.52,0.97
LightGBM,1,2.2373,4.4299,2.1846,2.2346,0.9384
LSTM,1,5.9843,11.4414,5.6696,6.0943,0.5912
iTransformer,1,5.6016,12.5865,5.1134,5.5478,0.5053
GUMNet-Lite,1,4.6569,7.5992,4.901,4.9078,0.8197
GUMNet-Ultra,1,5.0225,8.9371,5.0241,5.0702,0.7506
ARIMAX,5,2.9528,5.6912,2.9436,2.9651,0.8992
SARIMA,5,3.7698,6.9018,3.8635,3.9068,0.8518
Jump-Gated ARIMAX-CatBoost,5,2.9059,5.573,2.8978,2.9199,0.9027
Ridge (Linear),5,3.725,6.9633,3.7086,3.7969,0.8481
LightGBM,5,5.7037,11.0689,5.3822,5.7495,0.6161
LSTM,5,8.9405,18.8529,8.1399,9.2275,-0.1078
iTransformer,5,6.5145,13.7655,6.0256,6.5304,0.4094
GUMNet-Lite,5,6.0206,11.7416,6.0159,6.4235,0.5703
GUMNet-Ultra,5,6.3817,11.7411,6.5163,6.6466,0.5703
ARIMAX,10,3.9917,8.275,3.9005,3.9918,0.7892
SARIMA,10,4.8785,10.2419,4.8296,5.0209,0.6771
Jump-Gated ARIMAX-CatBoost,10,3.923,8.1304,3.8435,3.9297,0.7929
Ridge (Linear),10,4.786,9.4208,4.7618,4.8853,0.7219
LightGBM,10,7.2375,15.8277,6.4773,7.2074,0.215
LSTM,10,7.0648,13.8234,6.8232,7.291,0.4067
iTransformer,10,8.0302,15.6424,7.5515,8.0912,0.2403
GUMNet-Lite,10,7.6604,13.3769,7.9035,8.0785,0.4444
GUMNet-Ultra,10,9.5365,13.8248,10.2536,10.1321,0.4066
ARIMAX,30,6.3903,13.0368,6.0585,6.3424,0.4995
SARIMA,30,8.5795,18.1748,8.0475,8.8457,0.0272
Jump-Gated ARIMAX-CatBoost,30,6.5184,12.3061,6.3383,6.5151,0.5271
Ridge (Linear),30,9.8547,18.9407,9.4983,9.4666,-0.1203
LightGBM,30,9.685,18.0562,9.339,10.0336,-0.0181
LSTM,30,10.409,18.6704,10.3567,11.0374,-0.0731
iTransformer,30,14.1234,23.9421,13.9198,15.0184,-0.7646
GUMNet-Lite,30,9.173,18.194,8.8224,9.7475,-0.019
GUMNet-Ultra,30,10.0412,17.1893,10.1001,10.6032,0.0904
ARIMAX,60,7.1215,13.6076,6.7291,7.1163,0.4904
SARIMA,60,10.9924,22.4086,9.9717,11.3846,-0.382
Jump-Gated ARIMAX-CatBoost,60,7.1606,13.1222,6.9804,7.2823,0.4654
Ridge (Linear),60,9.4456,18.1365,8.8587,9.807,-0.0213
LightGBM,60,12.3185,20.1994,12.3944,12.9601,-0.2668
LSTM,60,12.4671,23.8626,11.6657,13.3394,-0.7306
iTransformer,60,17.8532,28.5395,17.964,19.4025,-1.4754
GUMNet-Lite,60,13.1219,24.4107,12.3452,13.9406,-0.811
GUMNet-Ultra,60,11.2142,21.1794,10.5806,11.9694,-0.3633
